PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
5.160203356544331e-05   WYS   Yellowstone Airport, United States
5.1586092442698153e-05   YLL   Lloydminster, Canada
5.1586092442698153e-05   YQL   Lethbridge, Canada
5.1586092442698153e-05   YXH   Medicine Hat, Canada
5.1582782726418275e-05   SAB   Juancho E. Yrausquin, Netherlands Antilles
5.157648900834324e-05   PWE   Pevek, Russia
5.157648900834324e-05   VIN   Vinnitsa, Ukraine
5.133676424765645e-05   SHL   Shillong Airport, India
5.133243946502217e-05   RIW   Riverton Regional, United States
5.133243946502217e-05   FMN   Four Corners Rgnl, United States
5.133243946502217e-05   TEX   Telluride, United States
5.133243946502217e-05   CEZ   Cortez Muni, United States
5.133243946502217e-05   SHR   Sheridan County Airport, United States
5.133243946502217e-05   LAR   Laramie Regional Airport, United States
5.133243946502217e-05   EAR   Kearney Municipal Airport, United States
5.133243946502217e-05   ALS   San Luis Valley Regional Airport, United States
5.133243946502217e-05   VEL   Vernal Regional Airport, United States
5.1277861787785634e-05   WJU   Wonju Airport, South Korea
5.1206575528489447e-05   PPG   Pago Pago Intl, American Samoa
5.120011286830038e-05   ZBF   Bathurst Airport, Canada
5.113995678661372e-05   GGG   East Texas Rgnl, United States
5.113995678661372e-05   GCK   Garden City Rgnl, United States
5.113995678661372e-05   BPT   Southeast Texas Rgnl, United States
5.113995678661372e-05   SPS   Sheppard Afb Wichita Falls Muni, United States
5.113995678661372e-05   ACT   Waco Rgnl, United States
5.113995678661372e-05   SJT   San Angelo Rgnl Mathis Fld, United States
5.113995678661372e-05   ABI   Abilene Rgnl, United States
5.113995678661372e-05   ROW   Roswell Intl Air Center, United States
5.113995678661372e-05   TXK   Texarkana Rgnl Webb Fld, United States
5.113995678661372e-05   LAW   Lawton-Fort Sill Regional Airport, United States
5.113995678661372e-05   JLN   Joplin Rgnl, United States
5.1128732708196446e-05   RKE   Roskilde, Denmark
5.112588473306623e-05   CAH   Ca Mau, Vietnam
5.112588473306623e-05   VCS   Co Ong Airport, Vietnam
5.0994930492684294e-05   ODO   Bodaibo, Russia
5.096352676735598e-05   ROP   Rota Intl, Northern Mariana Islands
5.0949929013981984e-05   KOV   Kokshetau Airport, Kazakhstan
5.091922575496937e-05   CNM   Cavern City Air Terminal, United States
5.091922575496937e-05   LAM   Los Alamos Airport, United States
5.0851118501910926e-05   AKF   Kufra, Libya
5.084510800393652e-05   RIS   Rishiri, Japan
5.084300034533778e-05   GIL   Gilgit, Pakistan
5.084300034533778e-05   KDU   Skardu Airport, Pakistan
5.0831240602760454e-05   HOB   Lea Co Rgnl, United States
5.0831240602760454e-05   VCT   Victoria Regional Airport, United States
5.0799211925382204e-05   DIN   Dien Bien Phu Airport, Vietnam
5.079597552507439e-05   RAH   Rafha, Saudi Arabia
5.079597552507439e-05   TUI   Turaif, Saudi Arabia
5.079597552507439e-05   ULH   Prince Abdul Majeed Airport, Saudi Arabia
5.0605349776142485e-05   MWA   Williamson Country Regional Airport, United States
5.0605349776142485e-05   JBR   Jonesboro Muni, United States
5.0605349776142485e-05   TBN   Waynesville Rgnl Arpt At Forney Fld, United States
5.0605349776142485e-05   UIN   Quincy Regional Baldwin Field, United States
5.0605349776142485e-05   IRK   Kirksville Regional Airport, United States
5.0605349776142485e-05   CGI   Cape Girardeau Regional Airport, United States
5.0599453214586934e-05   APF   Naples Muni, United States
5.0525759457508784e-05   IAA   Igarka Airport, Russia
5.051237616092747e-05   INI   Nis, Serbia
5.050038632165676e-05   DYR   Ugolny Airport, Russia
5.050038632165676e-05   PES   Petrozavodsk Airport, Russia
5.050038632165676e-05   ESL   Elista Airport, Russia
5.050038632165676e-05   ULY   Ulyanovsk East Airport, Russia
5.050038632165676e-05   OSW   Orsk Airport, Russia
5.050038632165676e-05   PEZ   Penza Airport, Russia
5.050038632165676e-05   KVK   Kirovsk-Apatity Airport, Russia
5.050038632165676e-05   RGK   Gorno-Altaysk Airport, Russia
5.050038632165676e-05   GBB   Qabala Airport, Azerbaijan
5.049219955968386e-05   RJH   Shah Mokhdum, Bangladesh
5.0452960166726364e-05   LYH   Lynchburg Regional Preston Glenn Field, United States
5.041456076035205e-05   PKB   Mid-Ohio Valley Regional Airport, United States
5.039899018155807e-05   CLD   McClellan-Palomar Airport, United States
5.039899018155807e-05   IYK   Inyokern Airport, United States
5.039899018155807e-05   VIS   Visalia Municipal Airport, United States
5.039899018155807e-05   MCE   Merced Municipal Airport, United States
5.032401744954087e-05   UDJ   Uzhhorod International Airport, Ukraine
5.030886112901962e-05   FUO   Foshan, China
5.030886112901962e-05   BFJ   Bijie Feixiong Airport, China
5.0275187548286846e-05   KNU   Kanpur, India
5.0275187548286846e-05   LUH   Ludhiana, India
5.0193080406872836e-05   DHN   Dothan Rgnl, United States
5.0193080406872836e-05   CSG   Columbus Metropolitan Airport, United States
5.0193080406872836e-05   GTR   Golden Triangle Regional Airport, United States
5.0193080406872836e-05   MEI   Key Field, United States
5.0193080406872836e-05   VLD   Valdosta Regional Airport, United States
5.0193080406872836e-05   PIB   Hattiesburg Laurel Regional Airport, United States
5.0193080406872836e-05   MSL   Northwest Alabama Regional Airport, United States
5.0193080406872836e-05   BQK   Brunswick Golden Isles Airport, United States
5.0193080406872836e-05   ABY   Southwest Georgia Regional Airport, United States
5.016310510261917e-05   KME   Kamembe, Rwanda
5.013793363721594e-05   IXG   Belgaum, India
5.013793363721594e-05   PNY   Pondicherry, India
5.013793363721594e-05   MYQ   Mysore Airport, India
5.013189552258714e-05   EJH   Wejh, Saudi Arabia
5.0100352999541786e-05   TEQ   Tekirdağ Çorlu Airport, Turkey
5.0068193419638415e-05   PDT   Eastern Oregon Regional Airport, United States
5.0031704645273645e-05   CVJ   General Mariano Matamoros, Mexico
5.002992697231088e-05   JGA   Jamnagar, India
5.002992697231088e-05   NDC   Nanded Airport, India
5.0026487808379396e-05   ESC   Delta County Airport, United States
5.0026487808379396e-05   PLN   Pellston Regional Airport of Emmet County Airport, United States
5.0026487808379396e-05   CIU   Chippewa County International Airport, United States
4.993708958621023e-05   SUX   Sioux Gateway Col Bud Day Fld, United States
4.993708958621023e-05   ART   Watertown Intl, United States
4.993708958621023e-05   PAH   Barkley Regional Airport, United States
4.993708958621023e-05   DBQ   Dubuque Rgnl, United States
4.993708958621023e-05   MKG   Muskegon County Airport, United States
4.993708958621023e-05   EAU   Chippewa Valley Regional Airport, United States
4.993708958621023e-05   CMX   Houghton County Memorial Airport, United States
4.993708958621023e-05   ALO   Waterloo Regional Airport, United States
4.9890519072167896e-05   YGK   Kingston, Canada
4.9890519072167896e-05   YZR   Chris Hadfield, Canada
4.9882163994263144e-05   ZIG   Ziguinchor, Senegal
4.986977236211317e-05   IVL   Ivalo, Finland
4.986977236211317e-05   JOE   Joensuu, Finland
4.986977236211317e-05   KAO   Kuusamo, Finland
4.986977236211317e-05   KUO   Kuopio, Finland
4.984154458819268e-05   KHS   Khasab, Oman
4.9834026034286676e-05   CWC   Chernivtsi International Airport, Ukraine
4.982729716854659e-05   DND   Dundee, United Kingdom
4.982729716854659e-05   DOL   St Gatien, France
4.982607956064336e-05   GMZ   La Gomera Airport, Spain
4.977748947514037e-05   LNS   Lancaster Airport, United States
4.977748947514037e-05   BKW   Raleigh County Memorial Airport, United States
4.977748947514037e-05   SHD   Shenandoah Valley Regional Airport, United States
4.976984071513858e-05   FLG   Flagstaff Pulliam Airport, United States
4.976984071513858e-05   SVC   Grant County Airport, United States
4.976984071513858e-05   SOW   Show Low Regional Airport, United States
4.9693367375397613e-05   CIC   Chico Muni, United States
4.9693367375397613e-05   MOD   Modesto City Co Harry Sham, United States
4.9693367375397613e-05   RDD   Redding Muni, United States
4.9643626443865625e-05   AUG   Augusta State, United States
4.9643626443865625e-05   RKD   Knox County Regional Airport, United States
4.9643626443865625e-05   SLK   Adirondack Regional Airport, United States
4.9643626443865625e-05   RUT   Rutland State Airport, United States
4.949518093137356e-05   LPT   Lampang, Thailand
4.949518093137356e-05   KKC   Khon Kaen, Thailand
4.949518093137356e-05   THS   Sukhothai, Thailand
4.949518093137356e-05   TDX   Trat, Thailand
4.948701979019703e-05   MBL   Manistee County-Blacker Airport, United States
4.9447003175347764e-05   SLN   Salina Municipal Airport, United States
4.9414831904830245e-05   BDU   Bardufoss, Norway
4.9414831904830245e-05   VDB   Leirin, Norway
4.9414831904830245e-05   SRP   Sorstokken, Norway
4.934360482711465e-05   GEV   Gallivare, Sweden
4.934360482711465e-05   OER   Ornskoldsvik, Sweden
4.934360482711465e-05   KRN   Kiruna, Sweden
4.93215380210471e-05   NAJ   Nakhchivan Airport, Azerbaijan
4.93215380210471e-05   ISE   Isparta Süleyman Demirel Airport, Turkey
4.93215380210471e-05   ADF   Adiyaman Airport, Turkey
4.9275116797571965e-05   URE   Kuressaare, Estonia
4.926797808610468e-05   SKE   Geiteryggen, Norway
4.924354258606739e-05   AGX   Agatti, India
4.92053861141574e-05   LWN   Gyumri, Armenia
4.916953202623157e-05   LPY   Loudes, France
4.916953202623157e-05   AUR   Aurillac, France
4.916953202623157e-05   LAI   Lannion, France
4.916875689222999e-05   OZZ   Ouarzazate, Morocco
4.912407342770454e-05   KOS   Sihanoukville, Cambodia
4.9077370263154444e-05   IOA   Ioannina, Greece
4.9077370263154444e-05   KSO   Aristotelis, Greece
4.9077370263154444e-05   MLO   Milos, Greece
4.9077370263154444e-05   JNX   Naxos, Greece
4.9077370263154444e-05   PAS   Paros, Greece
4.9077370263154444e-05   JSY   Syros Airport, Greece
4.902631238980294e-05   AHN   Athens Ben Epps Airport, United States
4.8995087066265365e-05   TCG   Tacheng Airport, China
4.8830556267888175e-05   JKG   Jonkoping, Sweden
4.878773258886717e-05   CBG   Cambridge, United Kingdom
4.8688499355548744e-05   ILY   Islay, United Kingdom
4.8688499355548744e-05   TRE   Tiree, United Kingdom
4.8688499355548744e-05   BRR   Barra Airport, United Kingdom
4.8688499355548744e-05   CAL   Campbeltown Airport, United Kingdom
4.850268115867287e-05   TOE   Nefta, Tunisia
4.8416720350449584e-05   BWK   Brac, Croatia
4.819736338551848e-05   RJL   Logroño-Agoncillo Airport, Spain
4.8079365541471046e-05   ARW   Arad, Romania
4.80289751127093e-05   YNY   Yangyang International Airport, South Korea
4.799440889511329e-05   SOB   Sármellék International Airport, Hungary
4.7991659333369574e-05   LPI   Saab, Sweden
4.7966059069322406e-05   KRP   Karup, Denmark
4.7966059069322406e-05   RNN   Bornholm Ronne, Denmark
4.7966059069322406e-05   SGD   Sonderborg, Denmark
4.795125162327381e-05   OHD   Ohrid, Macedonia
4.794032903583698e-05   YUS   Yushu Batang, China
4.7882016885551076e-05   EPL   Mirecourt, France
4.7882016885551076e-05   MCM   Monaco, Monaco
4.7783463789711544e-05   AOE   Anadolu Airport, Turkey
4.777776875520342e-05   DIJ   Longvic, France
4.770513987810307e-05   BNX   Banja Luka International Airport, Bosnia and Herzegovina
4.757283946613599e-05   TCP   Taba Intl, Egypt
4.7542493860027756e-05   RGS   Burgos Airport, Spain
4.750099820782456e-05   KZS   Kastelorizo, Greece
4.722031260143196e-05   THQ   Tianshui Airport, China
Outdegree 0 4.106270274709482e-05   HFN   Hornafjordur, Iceland
Outdegree 0 4.106270274709482e-05   HZK   Husavik, Iceland
Outdegree 0 4.106270274709482e-05   PFJ   Patreksfjordur, Iceland
Outdegree 0 4.106270274709482e-05   SIJ   Siglufjordur, Iceland
Outdegree 0 4.106270274709482e-05   VEY   Vestmannaeyjar, Iceland
Outdegree 0 4.106270274709482e-05   YAV   Winnipeg St Andrews, Canada
Outdegree 0 4.106270274709482e-05   YAW   Shearwater, Canada
Outdegree 0 4.106270274709482e-05   YAZ   Tofino, Canada
Outdegree 0 4.106270274709482e-05   YBB   Kugaaruk, Canada
Outdegree 0 4.106270274709482e-05   YBR   Brandon Muni, Canada
Outdegree 0 4.106270274709482e-05   YCH   Miramichi, Canada
Outdegree 0 4.106270274709482e-05   YCT   Coronation, Canada
Outdegree 0 4.106270274709482e-05   YCW   Chilliwack, Canada
Outdegree 0 4.106270274709482e-05   YDA   Dawson City, Canada
Outdegree 0 4.106270274709482e-05   YDB   Burwash, Canada
Outdegree 0 4.106270274709482e-05   YDC   Princeton, Canada
Outdegree 0 4.106270274709482e-05   YDL   Dease Lake, Canada
Outdegree 0 4.106270274709482e-05   YDN   Dauphin Barker, Canada
Outdegree 0 4.106270274709482e-05   YEN   Estevan, Canada
Outdegree 0 4.106270274709482e-05   YET   Edson, Canada
Outdegree 0 4.106270274709482e-05   YEU   Eureka, Canada
Outdegree 0 4.106270274709482e-05   YFR   Fort Resolution, Canada
Outdegree 0 4.106270274709482e-05   YHB   Hudson Bay, Canada
Outdegree 0 4.106270274709482e-05   YIB   Atikokan Muni, Canada
Outdegree 0 4.106270274709482e-05   YJN   St Jean, Canada
Outdegree 0 4.106270274709482e-05   YKY   Kindersley, Canada
Outdegree 0 4.106270274709482e-05   YKZ   Buttonville Muni, Canada
Outdegree 0 4.106270274709482e-05   YLD   Chapleau, Canada
Outdegree 0 4.106270274709482e-05   YLJ   Meadow Lake, Canada
Outdegree 0 4.106270274709482e-05   YLT   Alert, Canada
Outdegree 0 4.106270274709482e-05   YMA   Mayo, Canada
Outdegree 0 4.106270274709482e-05   YMJ   Moose Jaw Air Vice Marshal C M Mcewen, Canada
Outdegree 0 4.106270274709482e-05   YMW   Maniwaki, Canada
Outdegree 0 4.106270274709482e-05   YMX   Montreal Intl Mirabel, Canada
Outdegree 0 4.106270274709482e-05   YND   Gatineau, Canada
Outdegree 0 4.106270274709482e-05   YNM   Matagami, Canada
Outdegree 0 4.106270274709482e-05   YOC   Old Crow, Canada
Outdegree 0 4.106270274709482e-05   YOD   Cold Lake, Canada
Outdegree 0 4.106270274709482e-05   YPA   Prince Albert Glass Field, Canada
Outdegree 0 4.106270274709482e-05   YPE   Peace River, Canada
Outdegree 0 4.106270274709482e-05   YPG   Southport, Canada
Outdegree 0 4.106270274709482e-05   YPQ   Peterborough, Canada
Outdegree 0 4.106270274709482e-05   YQA   Muskoka, Canada
Outdegree 0 4.106270274709482e-05   YQH   Watson Lake, Canada
Outdegree 0 4.106270274709482e-05   YQV   Yorkton Muni, Canada
Outdegree 0 4.106270274709482e-05   YQW   North Battleford, Canada
Outdegree 0 4.106270274709482e-05   YRI   Riviere Du Loup, Canada
Outdegree 0 4.106270274709482e-05   YRM   Rocky Mountain House, Canada
Outdegree 0 4.106270274709482e-05   YSC   Sherbrooke, Canada
Outdegree 0 4.106270274709482e-05   YSR   Nanisivik, Canada
Outdegree 0 4.106270274709482e-05   YSU   Summerside, Canada
Outdegree 0 4.106270274709482e-05   YTR   Trenton, Canada
Outdegree 0 4.106270274709482e-05   YVC   La Ronge, Canada
Outdegree 0 4.106270274709482e-05   YVG   Vermilion, Canada
Outdegree 0 4.106270274709482e-05   YVT   Buffalo Narrows, Canada
Outdegree 0 4.106270274709482e-05   YVV   Wiarton, Canada
Outdegree 0 4.106270274709482e-05   YWA   Petawawa, Canada
Outdegree 0 4.106270274709482e-05   YWY   Wrigley, Canada
Outdegree 0 4.106270274709482e-05   YXD   Edmonton City Centre, Canada
Outdegree 0 4.106270274709482e-05   YXR   Timiskaming Rgnl, Canada
Outdegree 0 4.106270274709482e-05   YYN   Swift Current, Canada
Outdegree 0 4.106270274709482e-05   YYW   Armstrong, Canada
Outdegree 0 4.106270274709482e-05   YZD   Downsview, Canada
Outdegree 0 4.106270274709482e-05   YZE   Gore Bay Manitoulin, Canada
Outdegree 0 4.106270274709482e-05   YZH   Slave Lake, Canada
Outdegree 0 4.106270274709482e-05   YZU   Whitecourt, Canada
Outdegree 0 4.106270274709482e-05   YZW   Teslin, Canada
Outdegree 0 4.106270274709482e-05   YZX   Greenwood, Canada
Outdegree 0 4.106270274709482e-05   ZFA   Faro, Canada
Outdegree 0 4.106270274709482e-05   ZFM   Fort Mcpherson, Canada
Outdegree 0 4.106270274709482e-05   QFD   Boufarik, Algeria
Outdegree 0 4.106270274709482e-05   HRM   Hassi R Mel, Algeria
Outdegree 0 4.106270274709482e-05   TID   Bou Chekif, Algeria
Outdegree 0 4.106270274709482e-05   QAS   Ech Cheliff, Algeria
Outdegree 0 4.106270274709482e-05   TAF   Tafaraoui, Algeria
Outdegree 0 4.106270274709482e-05   ELG   El Golea, Algeria
Outdegree 0 4.106270274709482e-05   TMX   Timimoun, Algeria
Outdegree 0 4.106270274709482e-05   BYK   Bouake, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   DJO   Daloa, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   HGO   Korhogo, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   MJC   Man, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   SPY   San Pedro, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   ASK   Yamoussoukro, Cote d'Ivoire
Outdegree 0 4.106270274709482e-05   AKR   Akure, Nigeria
Outdegree 0 4.106270274709482e-05   QUS   Gusau, Nigeria
Outdegree 0 4.106270274709482e-05   MDI   Makurdi, Nigeria
Outdegree 0 4.106270274709482e-05   MXJ   Minna New, Nigeria
Outdegree 0 4.106270274709482e-05   ZAR   Zaria, Nigeria
Outdegree 0 4.106270274709482e-05   MFQ   Maradi, Niger
Outdegree 0 4.106270274709482e-05   THZ   Tahoua, Niger
Outdegree 0 4.106270274709482e-05   AJY   Manu Dayak, Niger
Outdegree 0 4.106270274709482e-05   ZND   Zinder, Niger
Outdegree 0 4.106270274709482e-05   GAF   Gafsa, Tunisia
Outdegree 0 4.106270274709482e-05   GAE   Gabes, Tunisia
Outdegree 0 4.106270274709482e-05   EBM   El Borma, Tunisia
Outdegree 0 4.106270274709482e-05   LRL   Niamtougou International, Togo
Outdegree 0 4.106270274709482e-05   QKT   Wevelgem, Belgium
Outdegree 0 4.106270274709482e-05   OST   Oostende, Belgium
Outdegree 0 4.106270274709482e-05   BBJ   Bautzen, Germany
Outdegree 0 4.106270274709482e-05   AOC   Altenburg Nobitz, Germany
Outdegree 0 4.106270274709482e-05   4I7   Putnam County Airport, United States
Outdegree 0 4.106270274709482e-05   BBH   Barth, Germany
Outdegree 0 4.106270274709482e-05   THF   Tempelhof, Germany
Outdegree 0 4.106270274709482e-05   MHG   Mannheim City, Germany
Outdegree 0 4.106270274709482e-05   XFW   Hamburg Finkenwerder, Germany
Outdegree 0 4.106270274709482e-05   KEL   Kiel Holtenau, Germany
Outdegree 0 4.106270274709482e-05   ZCA   Arnsberg Menden, Germany
Outdegree 0 4.106270274709482e-05   ESS   Essen Mulheim, Germany
Outdegree 0 4.106270274709482e-05   MGL   Monchengladbach, Germany
Outdegree 0 4.106270274709482e-05   AGB   Augsburg, Germany
Outdegree 0 4.106270274709482e-05   OBF   Oberpfaffenhofen, Germany
Outdegree 0 4.106270274709482e-05   SZW   Schwerin Parchim, Germany
Outdegree 0 4.106270274709482e-05   ZSN   Stendal Borstel, Germany
Outdegree 0 4.106270274709482e-05   BYU   Bayreuth, Germany
Outdegree 0 4.106270274709482e-05   HOQ   Hof Plauen, Germany
Outdegree 0 4.106270274709482e-05   ZNV   Koblenz Winningen, Germany
Outdegree 0 4.106270274709482e-05   ZQF   Trier Fohren, Germany
Outdegree 0 4.106270274709482e-05   ZQC   Speyer, Germany
Outdegree 0 4.106270274709482e-05   ZQL   Donaueschingen Villingen, Germany
Outdegree 0 4.106270274709482e-05   BWE   Braunschweig Wolfsburg, Germany
Outdegree 0 4.106270274709482e-05   BRV   Bremerhaven, Germany
Outdegree 0 4.106270274709482e-05   EME   Emden, Germany
Outdegree 0 4.106270274709482e-05   WVN   Wilhelmshaven Mariensiel, Germany
Outdegree 0 4.106270274709482e-05   BMK   Borkum, Germany
Outdegree 0 4.106270274709482e-05   NRD   Norderney, Germany
Outdegree 0 4.106270274709482e-05   FLF   Flensburg Schaferhaus, Germany
Outdegree 0 4.106270274709482e-05   EPU   Parnu, Estonia
Outdegree 0 4.106270274709482e-05   ENF   Enontekio, Finland
Outdegree 0 4.106270274709482e-05   KEV   Halli, Finland
Outdegree 0 4.106270274709482e-05   HEM   Helsinki Malmi, Finland
Outdegree 0 4.106270274709482e-05   HYV   Hyvinkaa, Finland
Outdegree 0 4.106270274709482e-05   JYV   Jyvaskyla, Finland
Outdegree 0 4.106270274709482e-05   KAU   Kauhava, Finland
Outdegree 0 4.106270274709482e-05   MIK   Mikkeli, Finland
Outdegree 0 4.106270274709482e-05   SOT   Sodankyla, Finland
Outdegree 0 4.106270274709482e-05   QVY   Utti, Finland
Outdegree 0 4.106270274709482e-05   VRK   Varkaus, Finland
Outdegree 0 4.106270274709482e-05   ENK   St Angelo, United Kingdom
Outdegree 0 4.106270274709482e-05   CVT   Coventry, United Kingdom
Outdegree 0 4.106270274709482e-05   LYE   Lyneham, United Kingdom
Outdegree 0 4.106270274709482e-05   YEO   Yeovilton, United Kingdom
Outdegree 0 4.106270274709482e-05   SWS   Swansea, United Kingdom
Outdegree 0 4.106270274709482e-05   PLH   Plymouth, United Kingdom
Outdegree 0 4.106270274709482e-05   QLA   Lasham, United Kingdom
Outdegree 0 4.106270274709482e-05   ESH   Shoreham, United Kingdom
Outdegree 0 4.106270274709482e-05   BQH   Biggin Hill, United Kingdom
Outdegree 0 4.106270274709482e-05   FAB   Farnborough, United Kingdom
Outdegree 0 4.106270274709482e-05   BBS   Blackbushe, United Kingdom
Outdegree 0 4.106270274709482e-05   LYX   Lydd, United Kingdom
Outdegree 0 4.106270274709482e-05   CAX   Carlisle, United Kingdom
Outdegree 0 4.106270274709482e-05   BWF   Walney Island, United Kingdom
Outdegree 0 4.106270274709482e-05   CEG   Hawarden, United Kingdom
Outdegree 0 4.106270274709482e-05   SDZ   Scatsta, United Kingdom
Outdegree 0 4.106270274709482e-05   ADX   Leuchars, United Kingdom
Outdegree 0 4.106270274709482e-05   LMO   Lossiemouth, United Kingdom
Outdegree 0 4.106270274709482e-05   FZO   Bristol Filton, United Kingdom
Outdegree 0 4.106270274709482e-05   MHZ   Mildenhall, United Kingdom
Outdegree 0 4.106270274709482e-05   FFD   Fairford, United Kingdom
Outdegree 0 4.106270274709482e-05   BZZ   Brize Norton, United Kingdom
Outdegree 0 4.106270274709482e-05   ODH   Odiham, United Kingdom
Outdegree 0 4.106270274709482e-05   NHT   Northolt, United Kingdom
Outdegree 0 4.106270274709482e-05   QCY   Coningsby, United Kingdom
Outdegree 0 4.106270274709482e-05   BEQ   Honington, United Kingdom
Outdegree 0 4.106270274709482e-05   WTN   Waddington, United Kingdom
Outdegree 0 4.106270274709482e-05   KNF   Marham, United Kingdom
Outdegree 0 4.106270274709482e-05   DHR   De Kooy, Netherlands
Outdegree 0 4.106270274709482e-05   LWR   Leeuwarden, Netherlands
Outdegree 0 4.106270274709482e-05   UTC   Soesterberg, Netherlands
Outdegree 0 4.106270274709482e-05   ENS   Twenthe, Netherlands
Outdegree 0 4.106270274709482e-05   LID   Valkenburg, Netherlands
Outdegree 0 4.106270274709482e-05   WOE   Woensdrecht, Netherlands
Outdegree 0 4.106270274709482e-05   GWY   Galway, Ireland
Outdegree 0 4.106270274709482e-05   SXL   Sligo, Ireland
Outdegree 0 4.106270274709482e-05   ODE   Odense, Denmark
Outdegree 0 4.106270274709482e-05   SKS   Skrydstrup, Denmark
Outdegree 0 4.106270274709482e-05   TED   Thisted, Denmark
Outdegree 0 4.106270274709482e-05   STA   Stauning, Denmark
Outdegree 0 4.106270274709482e-05   FAN   Lista, Norway
Outdegree 0 4.106270274709482e-05   NTB   Notodden, Norway
Outdegree 0 4.106270274709482e-05   OLA   Orland, Norway
Outdegree 0 4.106270274709482e-05   OSP   Redzikowo, Poland
Outdegree 0 4.106270274709482e-05   IEG   Babimost, Poland
Outdegree 0 4.106270274709482e-05   LDK   Lidkoping, Sweden
Outdegree 0 4.106270274709482e-05   KVB   Skovde, Sweden
Outdegree 0 4.106270274709482e-05   THN   Trollhattan Vanersborg, Sweden
Outdegree 0 4.106270274709482e-05   KSK   Karlskoga, Sweden
Outdegree 0 4.106270274709482e-05   MXX   Mora, Sweden
Outdegree 0 4.106270274709482e-05   KID   Kristianstad, Sweden
Outdegree 0 4.106270274709482e-05   JLD   Landskrona, Sweden
Outdegree 0 4.106270274709482e-05   OSK   Oskarshamn, Sweden
Outdegree 0 4.106270274709482e-05   HUV   Hudiksvall, Sweden
Outdegree 0 4.106270274709482e-05   KRF   Kramfors Solleftea, Sweden
Outdegree 0 4.106270274709482e-05   ORB   Orebro, Sweden
Outdegree 0 4.106270274709482e-05   BLE   Borlange, Sweden
Outdegree 0 4.106270274709482e-05   HLF   Hultsfred, Sweden
Outdegree 0 4.106270274709482e-05   GVX   Gavle, Sweden
Outdegree 0 4.106270274709482e-05   SPM   Spangdahlem Ab, Germany
Outdegree 0 4.106270274709482e-05   RMS   Ramstein Ab, Germany
Outdegree 0 4.106270274709482e-05   GHF   Giebelstadt Aaf, Germany
Outdegree 0 4.106270274709482e-05   ZCN   Celle, Germany
Outdegree 0 4.106270274709482e-05   ZNF   Hanau Aaf, Germany
Outdegree 0 4.106270274709482e-05   GKE   Geilenkirchen, Germany
Outdegree 0 4.106270274709482e-05   FEL   Furstenfeldbruck, Germany
Outdegree 0 4.106270274709482e-05   GUT   Gutersloh, Germany
Outdegree 0 4.106270274709482e-05   ALJ   Alexander Bay, South Africa
Outdegree 0 4.106270274709482e-05   AGZ   Aggeneys, South Africa
Outdegree 0 4.106270274709482e-05   BIY   Bhisho, South Africa
Outdegree 0 4.106270274709482e-05   GCJ   Grand Central, South Africa
Outdegree 0 4.106270274709482e-05   KLZ   Kleinsee, South Africa
Outdegree 0 4.106270274709482e-05   LAY   Ladysmith, South Africa
Outdegree 0 4.106270274709482e-05   MGH   Margate, South Africa
Outdegree 0 4.106270274709482e-05   MEZ   Messina, South Africa
Outdegree 0 4.106270274709482e-05   NCS   Newcastle, South Africa
Outdegree 0 4.106270274709482e-05   DUH   Oudtshoorn, South Africa
Outdegree 0 4.106270274709482e-05   NTY   Pilanesberg Intl, South Africa
Outdegree 0 4.106270274709482e-05   UTW   Queenstown, South Africa
Outdegree 0 4.106270274709482e-05   SBU   Springbok, South Africa
Outdegree 0 4.106270274709482e-05   SIS   Sishen, South Africa
Outdegree 0 4.106270274709482e-05   SZK   Skukuza, South Africa
Outdegree 0 4.106270274709482e-05   LTA   Tzaneen, South Africa
Outdegree 0 4.106270274709482e-05   ULD   Prince Mangosuthu Buthelezi, South Africa
Outdegree 0 4.106270274709482e-05   VRU   Vryburg, South Africa
Outdegree 0 4.106270274709482e-05   VIR   Virginia, South Africa
Outdegree 0 4.106270274709482e-05   PRY   Wonderboom, South Africa
Outdegree 0 4.106270274709482e-05   WEL   Welkom, South Africa
Outdegree 0 4.106270274709482e-05   JWA   Jwaneng, Botswana
Outdegree 0 4.106270274709482e-05   PKW   Selebi Phikwe, Botswana
Outdegree 0 4.106270274709482e-05   FTX   Owando, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   OUE   Ouesso, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   BBT   Berberati, Central African Republic
Outdegree 0 4.106270274709482e-05   TKC   Tiko, Cameroon
Outdegree 0 4.106270274709482e-05   FOM   Foumban Nkounja, Cameroon
Outdegree 0 4.106270274709482e-05   BFX   Bafoussam, Cameroon
Outdegree 0 4.106270274709482e-05   BPC   Bamenda, Cameroon
Outdegree 0 4.106270274709482e-05   YAO   Yaounde Ville, Cameroon
Outdegree 0 4.106270274709482e-05   KIW   Southdowns, Zambia
Outdegree 0 4.106270274709482e-05   NWA   Bandaressalam, Comoros
Outdegree 0 4.106270274709482e-05   AJN   Ouani, Comoros
